version,version_id,name,star,use,own,use_rate,own_rate,collection,rank_class
v3.0(Phase I),0,Lisa,4,30,26490,0.1,100.0,-,f
v3.0(Phase I),0,Kaeya,4,171,26490,0.6,100.0,-,f
v3.0(Phase I),0,Ambor,4,27,26490,0.1,100.0,-,f
v3.0(Phase I),0,Collei,4,576,26490,2.3,100.0,-,f
v3.0(Phase I),0,Barbara,4,1494,26490,5.7,100.0,-,b
v3.0(Phase I),0,Noelle,4,261,26490,1.0,100.0,-,f
v3.0(Phase I),0,Xiangling,4,16164,26490,61.8,100.0,-,s
v3.0(Phase I),0,Bennett,4,22419,26223,85.5,99.0,-,s1
v3.0(Phase I),0,Fischl,4,1584,26211,6.0,98.9,-,b
v3.0(Phase I),0,Ningguang,4,525,26076,2.0,98.4,-,f
v3.0(Phase I),0,Thoma,4,210,25902,0.8,97.8,-,f
v3.0(Phase I),0,Xingqiu,4,17397,25908,67.1,97.8,-,s
v3.0(Phase I),0,Xinyan,4,21,25818,0.1,97.5,-,f
v3.0(Phase I),0,Diona,4,6660,25794,25.8,97.4,-,a
v3.0(Phase I),0,Yanfei,4,495,25701,1.9,97.0,-,f
v3.0(Phase I),0,Rosaria,4,1770,25599,6.9,96.6,-,b
v3.0(Phase I),0,Sayu,4,81,25410,0.3,95.9,-,f
v3.0(Phase I),0,Razor,4,51,25410,0.2,95.9,-,f
v3.0(Phase I),0,Sucrose,4,2451,25308,9.7,95.5,-,b
v3.0(Phase I),0,Chongyun,4,213,25137,0.8,94.9,-,f
v3.0(Phase I),0,Beidou,4,315,25008,1.3,94.4,-,f
v3.0(Phase I),0,Yun Jin,4,2739,24912,11.0,94.0,-,b
v3.0(Phase I),0,Zhongli,5,20301,24195,83.9,91.3,-,s1
v3.0(Phase I),0,Kujou Sara,4,2538,23865,10.6,90.1,-,b
v3.0(Phase I),0,Kaedehara Kazuha,5,21912,23721,92.4,89.5,-,s1
v3.0(Phase I),0,Shikanoin Heizou,4,57,22623,0.3,85.4,-,f
v3.0(Phase I),0,Gorou,4,912,21498,4.2,81.2,-,f
v3.0(Phase I),0,Keqing,5,795,20718,3.8,78.2,-,f
v3.0(Phase I),0,Diluc,5,750,20700,3.6,78.1,-,f
v3.0(Phase I),0,Raiden Shogun,5,16029,20682,77.5,78.1,-,s1
v3.0(Phase I),0,Mona,5,6273,20640,30.4,77.9,-,a
v3.0(Phase I),0,Jean,5,1086,20583,5.3,77.7,-,b
v3.0(Phase I),0,Qiqi,5,801,20181,4.0,76.2,-,f
v3.0(Phase I),0,Ayaka,5,13098,19791,66.2,74.7,-,s
v3.0(Phase I),0,Aloy,5,9,18672,0.1,70.5,-,f
v3.0(Phase I),0,Yelan,5,13929,15645,89.0,59.1,-,s1
v3.0(Phase I),0,Kuki Shinobu,4,195,13998,1.4,52.8,-,f
v3.0(Phase I),0,Hu Tao,5,9051,12750,71.0,48.1,-,s1
v3.0(Phase I),0,Ganyu,5,3909,12417,31.5,46.9,-,a
v3.0(Phase I),0,Venti,5,3873,11580,33.4,43.7,-,a
v3.0(Phase I),0,Yoimiya,5,5046,11400,44.3,43.0,-,s
v3.0(Phase I),0,Xiao,5,2376,8898,26.7,33.6,-,a
v3.0(Phase I),0,Yae Miko,5,2475,8754,28.3,33.0,-,a
v3.0(Phase I),0,Sangonomiya Kokomi,5,5232,8130,64.4,30.7,-,s
v3.0(Phase I),0,Kamisato Ayato,5,2724,7902,34.5,29.8,-,a
v3.0(Phase I),0,Klee,5,528,7335,7.2,27.7,-,b
v3.0(Phase I),0,Tartaglia,5,2592,7017,36.9,26.5,-,s
v3.0(Phase I),0,Shenhe,5,3201,5880,54.4,22.2,-,s
v3.0(Phase I),0,Arataki Itto,5,993,5751,17.3,21.7,-,b
v3.0(Phase I),0,Albedo,5,1272,5178,24.6,19.5,-,a
v3.0(Phase I),0,Eula,5,999,4776,20.9,18.0,-,a
v3.0(Phase I),0,Tighnari,5,537,2811,19.1,10.6,-,b
v3.0(Phase II),1,Lisa,4,48,37644,0.1,100.0,-,f
v3.0(Phase II),1,Kaeya,4,261,37644,0.7,100.0,-,f
v3.0(Phase II),1,Ambor,4,18,37644,0.1,100.0,-,f
v3.0(Phase II),1,Collei,4,1203,37644,3.3,100.0,-,f
v3.0(Phase II),1,Barbara,4,1497,37644,4.0,100.0,-,f
v3.0(Phase II),1,Noelle,4,378,37644,1.0,100.0,-,f
v3.0(Phase II),1,Xiangling,4,21729,37644,58.4,100.0,-,s
v3.0(Phase II),1,Bennett,4,30387,37275,81.5,99.0,-,s1
v3.0(Phase II),1,Xingqiu,4,24279,37272,65.1,99.0,-,s
v3.0(Phase II),1,Fischl,4,2853,37197,7.7,98.8,-,b
v3.0(Phase II),1,Ningguang,4,681,37143,1.8,98.7,-,f
v3.0(Phase II),1,Sucrose,4,3747,36936,10.1,98.1,-,b
v3.0(Phase II),1,Thoma,4,213,36741,0.6,97.6,-,f
v3.0(Phase II),1,Diona,4,9282,36720,25.3,97.5,-,a
v3.0(Phase II),1,Xinyan,4,24,36600,0.1,97.2,-,f
v3.0(Phase II),1,Yanfei,4,522,36360,1.4,96.6,-,f
v3.0(Phase II),1,Rosaria,4,3429,36267,9.5,96.3,-,b
v3.0(Phase II),1,Razor,4,60,36063,0.2,95.8,-,f
v3.0(Phase II),1,Sayu,4,60,35835,0.2,95.2,-,f
v3.0(Phase II),1,Yun Jin,4,3429,35511,9.7,94.3,-,b
v3.0(Phase II),1,Chongyun,4,324,35415,0.9,94.1,-,f
v3.0(Phase II),1,Beidou,4,462,34965,1.3,92.9,-,f
v3.0(Phase II),1,Zhongli,5,28617,34983,81.8,92.9,-,s1
v3.0(Phase II),1,Kaedehara Kazuha,5,31074,33438,92.9,88.8,-,s1
v3.0(Phase II),1,Kujou Sara,4,3210,33255,9.7,88.3,-,b
v3.0(Phase II),1,Shikanoin Heizou,4,144,32268,0.4,85.7,-,f
v3.0(Phase II),1,Gorou,4,1344,30819,4.4,81.9,-,f
v3.0(Phase II),1,Mona,5,8562,29403,29.1,78.1,-,a
v3.0(Phase II),1,Keqing,5,1527,29286,5.2,77.8,-,b
v3.0(Phase II),1,Diluc,5,996,29085,3.4,77.3,-,f
v3.0(Phase II),1,Qiqi,5,879,28872,3.0,76.7,-,f
v3.0(Phase II),1,Jean,5,1077,28737,3.7,76.3,-,f
v3.0(Phase II),1,Ayaka,5,20007,28173,71.0,74.8,-,s1
v3.0(Phase II),1,Raiden Shogun,5,21018,27837,75.5,73.9,-,s1
v3.0(Phase II),1,Aloy,5,12,24930,0.1,66.2,-,f
v3.0(Phase II),1,Ganyu,5,8181,22128,37.0,58.8,-,s
v3.0(Phase II),1,Dori,4,2,21423,0.1,56.9,-,f
v3.0(Phase II),1,Yelan,5,18111,20877,86.8,55.5,-,s1
v3.0(Phase II),1,Kuki Shinobu,4,306,20709,1.5,55.0,-,f
v3.0(Phase II),1,Sangonomiya Kokomi,5,12597,19503,64.6,51.8,-,s
v3.0(Phase II),1,Hu Tao,5,10977,16380,67.0,43.5,-,s
v3.0(Phase II),1,Venti,5,5178,15819,32.7,42.0,-,a
v3.0(Phase II),1,Yoimiya,5,6606,15747,42.0,41.8,-,s
v3.0(Phase II),1,Xiao,5,3078,12780,24.1,33.9,-,a
v3.0(Phase II),1,Yae Miko,5,3405,11652,29.2,31.0,-,a
v3.0(Phase II),1,Klee,5,621,10725,5.8,28.5,-,b
v3.0(Phase II),1,Kamisato Ayato,5,3384,10098,33.5,26.8,-,a
v3.0(Phase II),1,Tartaglia,5,2901,9501,30.5,25.2,-,a
v3.0(Phase II),1,Arataki Itto,5,1482,8151,18.2,21.7,-,b
v3.0(Phase II),1,Shenhe,5,4842,8046,60.2,21.4,-,s
v3.0(Phase II),1,Albedo,5,1407,6813,20.7,18.1,-,a
v3.0(Phase II),1,Eula,5,1413,6477,21.8,17.2,-,a
v3.0(Phase II),1,Tighnari,5,1233,4458,27.7,11.8,-,a
v3.1(Phase I),2,Lisa,4,198,35745,0.6,100.0,-,f
v3.1(Phase I),2,Kaeya,4,204,35745,0.6,100.0,-,f
v3.1(Phase I),2,Ambor,4,24,35745,0.1,100.0,-,f
v3.1(Phase I),2,Collei,4,1962,35745,5.6,100.0,-,b
v3.1(Phase I),2,Barbara,4,1032,35745,2.9,100.0,-,f
v3.1(Phase I),2,Noelle,4,192,35745,0.5,100.0,-,f
v3.1(Phase I),2,Xiangling,4,21453,35745,60.5,100.0,-,s
v3.1(Phase I),2,Bennett,4,28248,35406,79.8,99.9,-,s1
v3.1(Phase I),2,Fischl,4,5793,35415,16.4,99.9,-,b
v3.1(Phase I),2,Xingqiu,4,20985,35451,59.2,99.9,-,s
v3.1(Phase I),2,Ningguang,4,456,35232,1.3,98.6,-,f
v3.1(Phase I),2,Sucrose,4,2856,35232,8.1,98.6,-,b
v3.1(Phase I),2,Thoma,4,162,34947,0.5,97.8,-,f
v3.1(Phase I),2,Diona,4,7878,34875,22.6,97.6,-,a
v3.1(Phase I),2,Sayu,4,51,34842,0.1,97.5,-,f
v3.1(Phase I),2,Xinyan,4,9,34776,0.1,97.3,-,f
v3.1(Phase I),2,Yanfei,4,354,34671,1.0,97.0,-,f
v3.1(Phase I),2,Rosaria,4,3588,34428,10.4,96.3,-,b
v3.1(Phase I),2,Razor,4,120,34143,0.4,95.5,-,f
v3.1(Phase I),2,Yun Jin,4,2328,33714,6.9,94.3,-,b
v3.1(Phase I),2,Chongyun,4,216,33693,0.6,94.3,-,f
v3.1(Phase I),2,Beidou,4,702,33564,2.1,93.9,-,f
v3.1(Phase I),2,Zhongli,5,24126,32970,73.2,92.2,-,s1
v3.1(Phase I),2,Kujou Sara,4,2748,31896,8.6,89.2,-,b
v3.1(Phase I),2,Kaedehara Kazuha,5,28785,31656,90.9,88.6,-,s1
v3.1(Phase I),2,Shikanoin Heizou,4,123,30825,0.4,86.2,-,f
v3.1(Phase I),2,Gorou,4,1269,29421,4.3,82.3,-,f
v3.1(Phase I),2,Keqing,5,2325,28458,8.2,79.6,-,b
v3.1(Phase I),2,Diluc,5,612,28257,2.2,79.1,-,f
v3.1(Phase I),2,Mona,5,7095,28155,25.2,78.8,-,a
v3.1(Phase I),2,Qiqi,5,501,28065,1.8,78.5,-,f
v3.1(Phase I),2,Jean,5,957,27900,3.4,78.1,-,f
v3.1(Phase I),2,Raiden Shogun,5,22341,27024,82.7,75.6,-,s1
v3.1(Phase I),2,Kuki Shinobu,4,840,26937,3.1,75.4,-,f
v3.1(Phase I),2,Ayaka,5,18297,26043,70.3,72.9,-,s1
v3.1(Phase I),2,Aloy,5,0,23577,0.1,66.0,-,f
v3.1(Phase I),2,Dori,4,63,21888,0.3,61.2,-,f
v3.1(Phase I),2,Ganyu,5,7752,21270,36.4,59.5,-,s
v3.1(Phase I),2,Yelan,5,15903,20748,76.6,58.0,-,s1
v3.1(Phase I),2,Venti,5,5952,20349,29.2,56.9,-,a
v3.1(Phase I),2,Sangonomiya Kokomi,5,13680,20028,68.3,56.0,-,s
v3.1(Phase I),2,Candace,4,30,17940,0.2,50.2,-,f
v3.1(Phase I),2,Hu Tao,5,7572,15186,49.9,42.5,-,s
v3.1(Phase I),2,Yoimiya,5,4440,15003,29.6,42.0,-,a
v3.1(Phase I),2,Xiao,5,2487,12108,20.5,33.9,-,a
v3.1(Phase I),2,Yae Miko,5,4209,11430,36.8,32.0,-,s
v3.1(Phase I),2,Kamisato Ayato,5,3504,10791,32.5,30.2,-,a
v3.1(Phase I),2,Klee,5,402,9642,4.2,27.0,-,f
v3.1(Phase I),2,Tartaglia,5,2898,9129,31.7,25.5,-,a
v3.1(Phase I),2,Arataki Itto,5,1332,7851,17.0,22.0,-,b
v3.1(Phase I),2,Shenhe,5,4254,7293,58.3,20.4,-,s
v3.1(Phase I),2,Albedo,5,1041,6549,15.9,18.3,-,b
v3.1(Phase I),2,Cyno,5,1656,6489,25.5,18.2,-,a
v3.1(Phase I),2,Eula,5,1056,6195,17.0,17.3,-,b
v3.1(Phase I),2,Tighnari,5,1563,6048,25.8,16.9,-,a
v3.1(Phase II),3,Lisa,4,321,51519,0.6,100.0,-,f
v3.1(Phase II),3,Kaeya,4,420,51519,0.8,100.0,-,f
v3.1(Phase II),3,Ambor,4,27,51519,0.1,100.0,-,f
v3.1(Phase II),3,Collei,4,8376,51519,16.5,100.0,-,b
v3.1(Phase II),3,Barbara,4,2451,51519,4.8,100.0,-,f
v3.1(Phase II),3,Noelle,4,330,51519,0.6,100.0,-,f
v3.1(Phase II),3,Xiangling,4,30198,51519,59.1,100.0,-,s
v3.1(Phase II),3,Bennett,4,39489,51036,77.4,99.9,-,s1
v3.1(Phase II),3,Fischl,4,8418,51150,16.5,99.9,-,b
v3.1(Phase II),3,Xingqiu,4,28770,51126,56.3,99.9,-,s
v3.1(Phase II),3,Ningguang,4,468,50856,0.9,98.7,-,f
v3.1(Phase II),3,Sucrose,4,3288,50739,6.5,98.5,-,b
v3.1(Phase II),3,Thoma,4,108,50478,0.2,98.0,-,f
v3.1(Phase II),3,Sayu,4,66,50409,0.1,97.8,-,f
v3.1(Phase II),3,Xinyan,4,42,50304,0.1,97.6,-,f
v3.1(Phase II),3,Diona,4,10083,50283,20.1,97.6,-,a
v3.1(Phase II),3,Yanfei,4,399,49755,0.8,96.6,-,f
v3.1(Phase II),3,Beidou,4,1002,49530,2.0,96.1,-,f
v3.1(Phase II),3,Rosaria,4,4134,49461,8.4,96.0,-,b
v3.1(Phase II),3,Razor,4,90,49233,0.2,95.6,-,f
v3.1(Phase II),3,Chongyun,4,270,48951,0.6,95.0,-,f
v3.1(Phase II),3,Yun Jin,4,2616,48198,5.4,93.6,-,b
v3.1(Phase II),3,Zhongli,5,31968,47550,67.2,92.3,-,s
v3.1(Phase II),3,Kujou Sara,4,3777,45858,8.2,89.0,-,b
v3.1(Phase II),3,Kaedehara Kazuha,5,37671,44874,83.9,87.1,-,s1
v3.1(Phase II),3,Shikanoin Heizou,4,129,44061,0.3,85.5,-,f
v3.1(Phase II),3,Gorou,4,2010,42870,4.7,83.2,-,f
v3.1(Phase II),3,Keqing,5,3294,41841,7.9,81.2,-,b
v3.1(Phase II),3,Mona,5,9420,41391,22.8,80.3,-,a
v3.1(Phase II),3,Diluc,5,963,41274,2.3,80.1,-,f
v3.1(Phase II),3,Jean,5,1206,41118,2.9,79.8,-,f
v3.1(Phase II),3,Kuki Shinobu,4,2433,41031,5.9,79.6,-,b
v3.1(Phase II),3,Qiqi,5,681,40914,1.7,79.4,-,f
v3.1(Phase II),3,Raiden Shogun,5,30996,38448,80.6,74.6,-,s1
v3.1(Phase II),3,Ayaka,5,22143,36735,60.3,71.3,-,s
v3.1(Phase II),3,Aloy,5,6,34869,0.1,67.7,-,f
v3.1(Phase II),3,Dori,4,117,32241,0.4,62.6,-,f
v3.1(Phase II),3,Venti,5,8829,31929,27.7,62.0,-,a
v3.1(Phase II),3,Ganyu,5,10176,31158,32.7,60.5,-,a
v3.1(Phase II),3,Candace,4,24,29139,0.1,56.6,-,f
v3.1(Phase II),3,Yelan,5,20619,28779,71.6,55.9,-,s1
v3.1(Phase II),3,Sangonomiya Kokomi,5,21267,28665,74.2,55.6,-,s1
v3.1(Phase II),3,Hu Tao,5,9606,22983,41.8,44.6,-,s
v3.1(Phase II),3,Yoimiya,5,5175,21432,24.1,41.6,-,a
v3.1(Phase II),3,Xiao,5,3582,17973,19.9,34.9,-,b
v3.1(Phase II),3,Yae Miko,5,5742,17433,32.9,33.8,-,a
v3.1(Phase II),3,Klee,5,546,15261,3.6,29.6,-,f
v3.1(Phase II),3,Kamisato Ayato,5,4962,15246,32.5,29.6,-,a
v3.1(Phase II),3,Nilou,5,7245,15120,47.9,29.3,-,s
v3.1(Phase II),3,Tartaglia,5,4224,14010,30.1,27.2,-,a
v3.1(Phase II),3,Albedo,5,2268,12693,17.9,24.6,-,b
v3.1(Phase II),3,Arataki Itto,5,1992,11751,17.0,22.8,-,b
v3.1(Phase II),3,Shenhe,5,5022,11466,43.8,22.3,-,s
v3.1(Phase II),3,Tighnari,5,2616,10761,24.3,20.9,-,a
v3.1(Phase II),3,Cyno,5,3051,10695,28.5,20.8,-,a
v3.1(Phase II),3,Eula,5,1494,9399,15.9,18.2,-,b
v3.2(Phase I),4,Lisa,4,384,49509,0.8,100.0,-,f
v3.2(Phase I),4,Kaeya,4,324,49509,0.7,100.0,-,f
v3.2(Phase I),4,Ambor,4,42,49509,0.1,100.0,-,f
v3.2(Phase I),4,Collei,4,4359,49509,9.0,100.0,-,b
v3.2(Phase I),4,Barbara,4,3297,49509,6.7,100.0,-,b
v3.2(Phase I),4,Noelle,4,333,49509,0.7,100.0,-,f
v3.2(Phase I),4,Xiangling,4,26418,49509,53.8,100.0,-,s
v3.2(Phase I),4,Bennett,4,36303,49251,73.7,99.9,-,s1
v3.2(Phase I),4,Xingqiu,4,27216,49134,55.4,99.9,-,s
v3.2(Phase I),4,Fischl,4,9201,49038,18.8,99.0,-,b
v3.2(Phase I),4,Razor,4,111,48771,0.2,98.5,-,f
v3.2(Phase I),4,Sucrose,4,3081,48693,6.3,98.4,-,b
v3.2(Phase I),4,Ningguang,4,342,48654,0.7,98.3,-,f
v3.2(Phase I),4,Diona,4,8712,48336,18.0,97.6,-,b
v3.2(Phase I),4,Thoma,4,228,48207,0.5,97.4,-,f
v3.2(Phase I),4,Sayu,4,87,48186,0.2,97.3,-,f
v3.2(Phase I),4,Xinyan,4,18,47985,0.1,96.9,-,f
v3.2(Phase I),4,Beidou,4,936,47796,2.0,96.5,-,f
v3.2(Phase I),4,Yanfei,4,363,47367,0.8,95.7,-,f
v3.2(Phase I),4,Rosaria,4,3279,46836,7.0,94.6,-,b
v3.2(Phase I),4,Chongyun,4,252,46596,0.5,94.1,-,f
v3.2(Phase I),4,Yun Jin,4,2241,46197,4.9,93.3,-,f
v3.2(Phase I),4,Zhongli,5,30615,45117,67.9,91.1,-,s
v3.2(Phase I),4,Kujou Sara,4,3153,43512,7.2,87.9,-,b
v3.2(Phase I),4,Shikanoin Heizou,4,210,42750,0.5,86.3,-,f
v3.2(Phase I),4,Kaedehara Kazuha,5,34311,41772,82.1,84.4,-,s1
v3.2(Phase I),4,Gorou,4,1599,41049,3.9,82.9,-,f
v3.2(Phase I),4,Diluc,5,891,40044,2.2,80.9,-,f
v3.2(Phase I),4,Keqing,5,4893,39975,12.2,80.7,-,b
